,,"Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій"
,,Кудрявцев Олександр,Маркевич Олексій,Вахрів Тарас,Болган Валерій,Мерзликін Олександр,Вахрів Ірина,Мартиненко Андрій,Комар Наталья,Задворнов Андрій,Онскуль Ілья,Цуркан Роман,Шляхов Євген,Литвинов Дмитро,Грищук Андрій,Мартиненко Антон,Островський Володимир,Цвяк Ігор,Місяць Іван,Тищенко Микита,Каунін Костянтин,Кучерова Ксенія,Пручковський Микола,Омельченко Олег,Винокуров Олексій,Лотник Олександр,Дем'яненко Олександр,Штефан Андрій,Рудик Юрій,Маландіна Вікторія,Самохін Ігор,Дубінська Ольга,Гурт Євгеній,Ковриженко Дмитро,Гранік Михайло,Мозяж Олег,Павлов Олег,Руденко Андрій,Монастирьова Анна,Трайдук Наталія,Вандинський Віктор,Пронкевич Костянтин,Польовий Ярослав,Пажун Олексій,Хохлов Вадим,Колесник Андрій,Зацепіна Тоня,Глінкіна Юлія,Любчик Марія,Трощенко Павло,Лавренюк Денис,Вдовиченко Олексій,Супрун Євгеній,Плотніков Олексій,Веліков Дмітрій,Сільвестров Олексій,Малюх Тарас,Байдюк Софія,Удод Олексій,Гахун Андрій,Міленін Іван,Куліш Олександр,Синявська Олена,Марков Владислав,Муха Павло,Мкртчян Александр,Мирошниченко Лада,Філатов Євген,Доля Олена,Жидких Олексій,Макаренко Євген,Шевчук Тарас,Казача Михайло,Новаков Олексій,Ковальський Павло,Дурбан Вячеслав,Прокопів Володимир,Луценко Оксана,Фея Олег ,Копчак Степан,Скляров Віктор,Сенчишин Анна-Марія,Уткін Максим,Іванов Володимир,Медведська Людмила,Акімов Андрєй,Новикова Ольга,Черкасов Сергій,Єфімов Андрій,Сеньковський Орест,Семенова Інна,Матузевич Поліна,Войтюк Володимир,Маєвський Анатолій,Рожкова Аліна,Індоіту Олексій,Овчарук Дмитро ,Пасічний Віталій,Калініченко Анатолій,Шевчук Євгенія,Боклаг Євген,Лісянський Олександр,Фомін Олександр
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,П.Х.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. П.Х.,"10. Роздатковий матеріал:
Інсталяція Ервіна ВУрма критикує сучасну культуру споживання. Назву інсталяції автор запитання переклав українською ЦИМИ СЛОВАМИ. Поїсти у середині було неможливо.
Відповідь: Пузата хата.
Коментар: Автор запитання теж критикує сучасну культуру споживання. Але “Пузата хата” норм заклад.
Джерело: https://thearchitect.pro/ru/news/6511-Tolstyi_dom_kak_architektura_obiedinilas_s_artom",,,1,,1,,,,,1,-1,,,,1,,1,,,,,,1,,,1,,,1,-1,,,,1,,,1,,,,,,,,,1,,,1,,,,,1,,-1,,,1,,,,,1,,,,,1,,,,1,,,,,1,,1,,,,,,1,-1,,,1,,,1,-1,,1,,,1,,,-1
1. П.Х.,"20. Журнал “Фома” розповідає, що ВОНИ, зроблені з сорочки, зберігаються в Ахені. На картині Босха, так би мовити, батько дбайливо тримає ЇХ над вогнем. 
Відповідь: Пелюшки Христа.
Коментар: Йосип намагається висушити випрані пелюшки, у які надзюрив маленький Ісус. Привіт редакторці попереднього туру, яка запитувала про штолен.  
Джерела: 
https://foma.ru/rozhdestvenskie-svyatyini.html
https://arzamas.academy/mag/530-jheronimus
",,1,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1
1. П.Х.,"30.  Заповніть будь-який з ПРОПУСКІВ,  які на слух співпадають.
ПРОПУСК  в 1919 році ледь не закінчився ще кількома смертями через пристрасних прихильників. Один німець закопав елемент муру, і такі дії отримали назву ПРОПУСК війнИ.
Відповідь: Похорон Холодної.
Коментар: Віра Холодна була дуже популярною і на її похорон зібрався натовп. Берлінський мур один з символів холодної війни.
Джерела: https://odessa-life.od.ua/article/zvezda-i-smert-legendarnoj-aktrisy-k-100-letiju-so-dnja-smerti-very-holodnoj
ОДАЗ у Берлині
",,1,,,,,,1,1,,,,-1,,,-1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
1. П.Х.,"40. ВІН у сучасному розумінні з'явився завдяки СІселі СОндерс, яка мала змогу прочитати  книгу Кюблер-Росс. Сіселі покохала чоловіка, але відносини очікувано тривали недовго.
Відповідь: Перший хоспіс.
Коментар: Сіселі Сондерс закохалася у чоловіка, який був невиліковно хворий. Сіселі вважають засновницею хоспісів у сучасному розумінні цього слова. Українською можна писати хоспіс, а можна госпіс.
Джерело: https://hospis-tula.ru/?page_id=243",,,,,,,,,,,,,,,,,,-1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. П.Х.,"50. Наприкінці 2013 року британця довго шукали, бо той поїхав у відпустку без мобільного телефону. Отож ЗРОБИТИ ЦЕ колеги змогли не одразу.
Відповідь: Привітати Хіггса. 
Коментар: Але сам бозон, чиє існування передбачив вчений, шукали все ж трохи довше). Пітер Хіггс у 2013 році отримав Нобелівську премію з фізики. Українською можна писати Хіггс, а можна Гіггс.
Джерело: https://inosmi.ru/20131011/213786386.html",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. LA,"10.  Одна з ЙОГО головних  вулиць стилізована під Дикий захід, тому в 1955 році ведучим ЙОГО відкриття був Рональд Рейган. Вестерни дивилися навіть діти.
Вiдповiдь: Діснейленд.
Коментар:  Рейган був ведучим на відкритті Діснейленду.  
Джерело: Історія Діснейленду",1,,,,,,,1,,,1,,,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,-1,1,,1,,,,,,1,,,,,1,,,1,,-1,,1,-1,,1,,-1,1,,,1,,,,,1,,,,,1,,,,-1,,-1,1,,,,,,1,,1,,,1,,-1,,,1,,-1
2. LA,"20. У 1974 році дружина письменника-емігранта Юрія Тарнавського Патриція КилИна написала роман про стосунки бігунів. Для Патриції то був важливий крок, отож пишуть, що ЗВІДТИ Патриція не вийшла, а вибігла.
Відповідь: Із шафи
Коментар: Письменниця зробила камінг-аут. Вважається, що Килина вже у дорослому віці опанувала українську, якою писав її чоловік, та почала писати вірші. Ще вона бігала марафони та взагалі є цікавою особистістю.
Джерело: https://uk.wikipedia.org/wiki/Патриція_Килина",,,,,,,,,,,,,1,,,,,,-1,,,,1,,,,1,,,,,1,,,,,,-1,,,,,,,,,,,,1,,,,,1,,,1,,-1,1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
