,,"Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій"
,,Маркевич Олексій,Мартиненко Андрій,Мартиненко Антон,Голуб Едуард,Печерога Володимир,Мерзликін Олександр,Онскуль Ілья,Болган Валерій,Вахрів Ірина,Грищук Андрій,Шляхов Євген,Данченко Андрій,Задворнов Андрій,Вахрів Тарас,Муатс Адлен,Островський Володимир,Місяць Іван,Омельченко Олег,Дубінська Ольга,Чирков Олексій,Синєока Галина,Кучерова Ксенія,Дем'яненко Олександр,Каунін Костянтин,Пручковський Микола,Самохін Ігор,Рудик Юрій,Садок Микита ,Лотник Олександр,Тищенко Микита,Ковалів Богодар,Гурт Євгеній,Грабовський Іван,Пронкевич Костянтин,Руденко Андрій,Павлов Олег,Вандинський Віктор,Романчук Ігор,Зацепіна Тоня,Монастирьова Анна,Осадчий Михайло,Трощенко Павло,Польовий Ярослав,Глінкіна Юлія,Ковриженко Дмитро,Колесник Андрій,Лавренюк Денис,Меженський Олег,Назаровець Антон,Любчик Марія,Гранік Михайло,Кальмук Марта,Міленін Іван,Малюх Тарас,Сільвестров Олексій,Гахун Андрій,Сметюх Андрій,Мкртчян Александр,Байдюк Софія,Соловйов Олег,Доля Олена,Куліш Олександр,Мирошниченко Лада,Супрун Євгеній,Муха Павло,Жидких Олексій,Денисенков Микита,Овчаренко Анна ,Філатов Євген,Плотніков Олексій,Казача Михайло,Луценко Оксана,Акімов Андрєй,Коберник Михась,Мерлян Станіслав,Дурбан Вячеслав,Скляров Віктор,Ковальський Павло,Прокопів Володимир,Медведська Людмила,Уткін Максим,Гнідь Микола,Копчак Степан,Новаков Олексій,Ладес Мішель,Новикова Ольга,Єфімов Андрій,Маєвський Анатолій,Лісянський Олександр,Щербаков Максим,Кляусова Олена,Матузевич Поліна,Овчарук Дмитро ,Семенова Інна,Войтюк Володимир,Боклаг Євген,Калініченко Анатолій,Буханцов Олексій,Індоіту Олексій,Сеньковський Орест,Хорошевський Андрій,Фомін Олександр
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тема,Питання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Рік тигра,"10. [Роздатковий матеріал:]
Український лицар Іванко Сушик здобув славу у ЦІЙ ПОДІЇ, пам'ять про яку вшановують також у кількох сусідніх державах.
Відповідь: Грюнвальдська битва
Залік: Жальгіріська битва
Коментар: Іванко Сушик з Романова воював у складі Львівської хоругви і за хоробрість був нагороджений королем Владиславом Ягайлом. Битва відбулася у 1410 році. Річницю Грюнвальду святкують також у Білорусі, Польщі та Литві.
Джерело: https://uk.wikipedia.org/wiki/Грюнвальдська_битва",1,,,,1,,,,,1,,,1,,,,-1,,,1,1,,,,,,1,,,,,1,1,,,,1,,,,,,,1,,,,1,1,,,,-1,,-1,,,,,1,,,,,1,,,,,1,1,,,-1,,,,1,1,,,,,1,,,,,,1,,,,1,,,1,,,,1,-1
1. Рік тигра,"20. Лев у критиці сталінізму згадував ЦЕЙ МІСЯЦЬ 1794 року.
Відповідь: Термідор
Залік: липень
Коментар: Бюрократичну владу за часів Сталіна Троцький порівнював з контрреволюційним термідоріанським переворотом.
Джерело: https://ru.wikipedia.org/wiki/Термидор",,,,1,1,,,,,,,1,,,,,,,,-1,1,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,1,-1,,,,,-1,,,,,-1,,,,,-1,,,,,,,,,,1,,,,1,,,,,,1,,,,,-1,,1,,,,,
1. Рік тигра,"30. Згідно з НЕЮ, міста закарпатської України відійшли Угорщині. Едвард БЕнеш прокоментував ЇЇ словами: «Ми не останні, це торкнеться й інших».
Відповідь: Мюнхенська угода
Залік: Мюнхенська змова, Мюнхенська зрада
Коментар: Ганебна сторінка історії, коли європейські держави дозволили гітлерівський Германії, а також Польщі та Угорщині розділити незалежну Чехословаччину. Ніколи знову.
Джерело: https://uk.wikipedia.org/wiki/Мюнхенська_угода",1,-1,,,1,,,,,1,,,1,,,,,,,,1,,,,,1,,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,-1,,,,,,,,,,1,,,,1,,,,,,1,,,1,,1,,,,,,,
1. Рік тигра,"40. У ЦЬОМУ ІНЦИДЕНТІ, що стався у рік тигра, більшість нападників були хворі на туберкульоз. Їх і обирали за цим принципом, бо хвороба вважалася невиліковною.
Відповідь: Сараєвський інцидент
Залік: Сараєвське вбивство, вбивство ерцгерцога Фердинанда, вбивство Франца Фердинанда
Коментар: Слово «принцип» - невеличка підказка. На кортеж ерцгерцога напали члени угрупування «Млада Босна», з яких власне Гаврило Принцип та ще два хлопці були хворі на туберкульоз. Хворим на сухоти був і сам ерцгерцог Фердинанд.
Джерело: https://ru.wikipedia.org/wiki/Принцип,_Гаврило",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,,1,,,,,,,-1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Рік тигра,"50. У відповіді два слова. ЦЕЙ другий з найдорожчих українських ОБ'ЄКТІВ було відкрито у 2010, за 6 років після загибелі відомого діяча, а у кліпі 2018 року можна побачити, як Майлі Сайрус мчить по ньому на автівці.
Відповідь: Міст Кирпи
Залік: Дарницький міст
Коментар: Залізнично-автомобільний міст, що наразі є дуже важливим у транспортній системі столиці, почали будувати за часів Кирпи, а потім міст назвали на честь загиблого міністра. Київські краєвиди, що можна побачити з моста, використані у кліпі Майлі Сайрус 
Джерело: https://uk.wikipedia.org/wiki/Список_найдорожчих_об%27єктів_в_Україні
https://uk.wikipedia.org/wiki/Залізнично-автомобільний_мостовий_перехід_через_Дніпро_в_Києві
https://www.youtube.com/watch?v=A9hcJgtnm6Q
",,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,,,,-1,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,1,,,,
2. М.С.,"10. ВОНА, незважаючи на свою високу мораль та релігійність, у листопаді 2009 року з’явилася на обкладинці Playboy і таким чином стала першою у своєму роді. На обкладинці вона тримала тарілку з пундиками.
Відповідь: Мардж Сімпсон
Коментар: Мардж – перша мультиплікаційна героїня, що з’явилася у Playboy. Висока в неї не тільки мораль, але й зачіска. Пундики, як відомо, улюблена страва Гомера.
Джерело: https://en.wikipedia.org/wiki/Marge_Simpson",,1,,,,,,-1,,,,,,,1,,1,,-1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,-1,,,,,,1,,,,-1,,,-1,,,,,
2. М.С.,"20. На НЬОМУ знаходиться, зокрема, найстаріший в Європі ялівець, який перебуває у критичному стані, бо опинився у приватному володінні Віктора Януковича-молодшого без належного нагляду, а також маяк, який був окупований ще у 2005 році.
Відповідь: Мис Сарич
Коментар: Найпівденніша точка України. 2000-річний ялівець станом на 2019 рік розвалювався на три частини, бо опинився у кримському маєтку сина Віктора Януковича і залишався без нагляду та допомоги. Ще до анексії півострова у 2005 році російські військові захопили маяк на мисі.
Джерело: https://uk.wikipedia.org/wiki/Сарич
https://uk.wikipedia.org/wiki/2000-річний_ялівець_на_мисі_Сарич",1,,,,,-1,,1,,,1,,-1,1,,,,,1,,,,1,,,,1,-1,,,1,,1,,,,,,,,,,,1,,,,1,1,,,,,1,,,1,,,1,,,,,1,,,,,1,,,,-1,,,1,,,,,1,,1,,,1,,,,,,,,,,1,,1,,,
