,,А1,А1,А1,А1,Б1,Б1,Б1,Б1,В1,В1,В1,В1,Г1,Г1,Г1,Г1,Ґ1,Ґ1,Ґ1,Ґ1,Д1,Д1,Д1,Д1,Е1,Е1,Е1,Е1,Є1,Є1,Є1,Є1,Ж1,Ж1,Ж1,Ж1,З1,З1,З1,З1,И1,И1,И1,И1,І1,І1,І1,І1,Ї1,Ї1,Ї1,Ї1,Й1,Й1,Й1,Й1,К1,К1,К1,Л1,Л1,Л1,Л1,Фінал,Фінал,Фінал,Фінал
,,Островський Володимир,Данченко Андрій,Кудрявцев Олександр,Грищук Андрій,Болган Валерій,Цвяк Ігор ,Чирков Олексій,Гурт Євгеній,Синєока Галина,Самохін Ігор,Рудик Юрій,Омельченко Олег,Пручковський Микола ,Місяць  Іван,Новаков Олексій,Ковальський Павло,Пронкевич Костянтин,Сметюх Андрій,Щербаков Максим,Малюх Тарас ,Черкасов Сергій ,Коберник Михайло,Рожкова Аліна,Удод Олексій ,Грабовський Іван,Войтюк Володимир,Назаровець Антон,Шевчук Тарас,Лавренюк Денис,Уткін Максим ,Гнідь Микола ,Овчарук Дмитро,Гранік Михайло,Прокопів Володимир,Вдовиченко Олексій,Хохлов Вадим,Мерлян Станіслав,Осадчий Михайло,Сеньковський Орест,Ковриженко Дмитро,Плотніков Олексій,Марков Владислав ,Глінкіна Юлія,Матузевич Поліна,Лісянський Олександр,Мозяж Олег,Гахун Андрій,Дурбан Вячеслав,Луценко Оксана,Пасичний Віталій,Байдюк Софія,Валевський Руслан,Лесюк Наталія ,Ільїн Костянтин ,Мовсесов Євгеній,Горбунов Олександр,Гімчинський Ростислав,Нагурський Олексій,Павлюк Сергій ,Поліщук Кирило,Пономарьов  Володимир,Рева Сергій,Оксана Луценко,Мартиненко Антон,Задворнов Андрій,Голуб Едуард,Дмитро Литвинов
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тема,Питання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. -РОН-,"10. Нещодавно представники Netflix повідомили, що через сумну подію зйомки шостого сезона ЦЬОГО СЕРІАЛУ будуть призупинені. 

Відповідь: Корона
Коментар: біографічний серіал про Єлизавету II. Раніше шоуранери казали, що у них є план на випадок смерті королеви, але який саме - не уточнили. 
Джерело: https://life.nv.ua/art/cerial-korona-priostanovit-semki-shestogo-sezona-iz-za-smerti-elizavety-ii-50268900.html",1,,,,,,1,,,1,,,,,1,,1,,,,1,,,,,,1,,,,,1,1,,,,,1,,,1,,-1,,1,,,,,1,,,1,,,,,,1,,1,,,,,1,
1. -РОН-,"20. Твір “Метрика”, у якому вперше з’являється ВОНА, був своєрідним збірником математичних знань. Саме тому деякі спеціалісти висловлюють сумніви щодо справедливості ЇЇ назви. 

Відповідь: формула Герона
Коментар: вперше трапляється у творі Герона “Метрика”, однак це не означає, що її вигадав сам Герон. Натяки на формулу трапляються ще у творах Архімеда, який жив на 200 років раніше. 
Джерело: https://en.wikipedia.org/wiki/Heron%27s_formula",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
1. -РОН-,"30. За словами однієї з засновниць ЦЬОГО, особам, які відправляють особливо великі донати, іноді надають безкоштовні підписки на тих чи інших учасниць проєкту. 

Відповідь: теронліфанс
Коментар: теронліфанс - громадський рух, учасники і учасниці якого відправляють відвертий контент за донати для ЗСУ. Зараз зібрано вже кілька десятків мільйонів гривень. Теронліфанс - слово-гаманець від ТРО та сервісу onlyfans, на якому працюють деякі з учасниць. Якщо ви сьогодні ще не допомагали ЗСУ - ви знаєте що робити. 
Джерело: https://ain.ua/ru/2022/03/28/teronlifany/",,,,1,,1,,,,1,,,,,1,,,1,,,,,1,,,,1,,,,1,,,,1,,,1,-1,,,1,,,,,1,,,1,,,,,,1,,1,,,1,,,1,,,
1. -РОН-,"40. Оскільки пластикові елементи, які використовуються в деяких НИХ, дуже легкі, користувач зобов’язаний надягати спеціальні рукавички, щоб не змінити вагу та не вплинути на результат. 

Відповідь: лототрон
Коментар: засіб для проведення розіграшів. У лототронах, де кульки перемішуються за допомогою повітря, вага самих кульок дуже маленька. 
Джерело: https://en.wikipedia.org/wiki/Lottery_machine",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,1,
1. -РОН-,"50. Окрім роботи, пов’язаної з Латинською Америкою, Юрій Кнорозов намагався ЗРОБИТИ ЦЕ, але, як і багато інших, значних успіхів не досяг. 

Відповідь: дешифрувати ронго-ронго
Залік: за змістом та згадкою ронго-ронго
Коментар: Кнорозов відомий тим, що дешифрував мову Майя. Ронго-Ронго - дерев’яні таблички з Острова Пасхи, які сьогодні є одним з найвідоміших нерозшифрованих документів. До речі, Кнорозов, як і Геєрдал, припускав, що мова рапануйців може бути схожою на мови південноамериканських індіанців.
Джерело: https://en.wikipedia.org/wiki/Decipherment_of_rongorongo",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
2. Кіно,"10. У відповіді два слова, що починаються на ту ж саму літеру. Героїня фільму братів Коенів багато тренується, щоб опанувати інструмент, але не має таланту. Один з друзів намагається підтримати дівчину і каже, що краще бути гарною машиністкою, ніж ТАКОЮ НЕЮ. 

Відповідь: поганою піаністкою
Коментар: дівчина гарно та швидко працює пальцями, тому друг каже, що якщо із піаніно не виходить - можна спробувати опанувати друкарську машинку. 
Джерело: х/ф “Людина, якої не було” (2001 р.)",1,,,,,,1,,,,1,,,1,,,,,1,,,1,,,1,,,,,1,,-1,1,,,,,1,,-1,,1,,,,,,,,,,1,,1,-1,,-1,,,,,1,,1,,,
2. Кіно,"20. Діти з фільму Віктора Ерісе дивляться стрічку “Франкенштейн”. Наступного дня діти у школі відвідують ЙОГО. Відомий твір XVII сторіччя також зображає ЙОГО. 

Відповідь: урок анатомії
Не залік: анатомічний театр
Коментар: після стрічки про Франкенштейна діти власноруч збирають макет людини. 
Джерело: х/ф “Дух вулика” (1973 р.)",,1,,,1,,-1,-1,1,,,,,,,1,1,,,,,,1,,1,,,,1,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,1,,1,,,,1,,
2. Кіно,"30. У відповіді слово італійського походження. Герой стрічки “Втрачений вікенд” - алкоголік, який намагається знайти ЙОГО на вулицях міста. Персонаж із сумом дізнається, що в той день святкується Йом-Кіпур, а тому всі ВОНИ зачинені. 

Відповідь: ломбард
Коментар: герою дуже потрібні гроші на випивку. Багатьма ломбардами в Америці тих часів володіли ті, хто не дуже хотіли працювати в Йом-Кіпур. 
Джерело: х/ф “Втрачений вікенд” (1945 р.)",1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2. Кіно,"40. Герої фільму “Грона гніву” вимушені вирушити у подорож через те, що землевласник знищив їхні домівки. Один з героїв фільму називає людей, що використовують продукцію ЦІЄЇ КОМПАНІЇ, справжніми катами. 

Відповідь: Caterpillar
Коментар: домівки було знищено за допомогою бульдозерів фірми Caterpillar. Згадка катів утворює гру слів, яка присутня тільки в українському перекладі стрічки. 
Джерело: х/ф “Ґрона гніву” (1940 р.)",1,,-1,,,,,1,,,1,,,1,,,,,1,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,1,,,,1,,
